path	size_bytes	sha256	role	status
D:\Games\Kor Patch\CLude\PS1 슈퍼로봇대전 S\Dai-4-Ji Super Robot Taisen S (Japan) (Rev 1) (Track 1).bin	392151312	963108980bc28d346abf33662ff3b24643896a5f4ef8776d31286e2d353e8c81	Mode2/2352 data track; authoritative source	verified-read-only
D:\Games\Kor Patch\CLude\PS1 슈퍼로봇대전 S\Dai-4-Ji Super Robot Taisen S (Japan) (Rev 1) (Track 2).bin	3880800	ccb19757ec6aaae78041f8c6ec4840e1468616fa8a5a45e21ec4423612cfbde3	CD-DA track	verified-read-only
D:\Games\Kor Patch\CLude\PS1 슈퍼로봇대전 S\Dai-4-Ji Super Robot Taisen S (Japan) (Rev 1) (Track 3).bin	63210000	0c53d570c8edaa7222d7a95beb7f4806e84ae946461e8f0d5d90831f3d431d10	CD-DA track	verified-read-only
D:\Games\Kor Patch\CLude\PS1 슈퍼로봇대전 S\Dai-4-Ji Super Robot Taisen S (Japan) (Rev 1).cue	399	62156b31a79608df95f43a2fe92f4bf38563afb2a68e2ce36aa71a61b201d2b8	disc layout	verified-read-only
